;alpha;beta;borehole_trend;borehole_plunge;plane_dip;plane_dir
0;75;240;220;65;34.84;63.1
1;80;180;220;65;35.0;40.0
2;80;150;220;65;34.01;31.07
3;75;0;220;65;10.0;40.0
4;70;260;220;65;34.25;76.76
5;70;110;220;65;36.66;7.43
6;90;270;220;65;25.0;40.0
7;75;30;220;65;14.03;7.75
8;80;40;220;65;18.42;19.32
9;90;0;220;65;25.0;40.0
10;80;40;220;65;18.42;19.32
11;80;50;220;65;20.0;17.11
12;50;90;220;65;46.03;336.73
13;55;80;220;65;38.33;334.37
14;80;10;220;65;15.24;33.42
15;75;60;220;65;21.55;2.39
16;85;40;220;65;21.4;31.17
17;90;40;220;65;25.0;40.0
18;80;270;220;65;26.81;62.65
19;25;160;220;65;88.68;21.94
20;80;280;220;65;25.14;63.74
21;80;0;220;65;15.0;40.0
22;10;30;220;65;58.81;255.14
23;35;190;220;65;79.69;48.31
24;55;310;220;65;26.08;128.43
25;75;140;220;65;37.66;24.2
26;15;210;220;65;83.17;249.11
