LENGTH_FROM;ALPHA_CORE;BETA_CORE;DIR_CORE;DIP_CORE
40.84;49;65;138;62
41.5;51;185;321;4
42.13;45;330;75;76
42.23;64;10;102;61
42.43;48;85;151;55
42.48;65;260;54;38
42.52;28;85;165;70
42.68;35;55;139;78
42.69;78;280;77;38
42.75;51;360;96;74
83.41;47;360;96;78
83.59;50;90;152;51
83.6;50;65;137;62
83.93;80;120;113;31
84.37;70;25;107;54
84.67;49;255;32;44
85.19;50;350;90;75
85.46;50;255;34;43
85.66;67;110;137;34
87.17;13;115;200;65
88.03;56;50;126;63
88.07;70;60;120;48
88.35;40;100;167;53
88.9;40;185;293;14
89.17;30;120;191;48
89.89;52;140;175;23
90.08;45;130;182;32
90.12;70;190;85;16
90.52;55;265;45;46
90.97;21;310;231;87
91.01;39;310;59;77
91.17;45;320;69;75
91.34;39;25;116;84
91.81;75;350;93;50
91.97;40;290;46;68
93.79;23;290;36;82
93.85;60;355;94;65
94.8;55;15;106;70
95.54;32;80;159;69
95.56;80;115;113;32
96.5;60;360;96;65
97.07;60;170;134;8
97.17;46;145;191;23
97.72;45;115;171;41
98.25;55;10;103;70
98.4;62;205;49;15
98.62;54;110;157;39
98.98;65;215;53;20
99.49;20;110;190;61
99.98;65;110;140;35
99.98;65;110;140;35
99.98;40;100;167;53
42.93;48;100;159;47
42.95;30;270;25;65
42.99;90;;96;35
43.13;60;20;107;63
43.15;70;230;60;27
43.3;72;10;101;53
43.7;63;215;45;20
44.01;77;40;108;45
44.19;70;50;116;49
44.27;70;355;94;55
44.58;77;50;111;44
44.62;75;40;109;47
44.63;50;160;199;12
44.69;69;355;94;56
44.75;;;;
44.8;75;;;
44.83;55;;;
44.86;70;;;
44.93;;;;
45.09;;;;
45.39;85;;;
45.65;60;;;
45.97;55;;;
46.04;68;;;
46.14;65;;;
46.39;82;350;94;43
46.95;76;290;77;41
47.86;67;325;81;55
49.2;0;330;242;59
49.64;30;40;130;88
50.95;27;0;276;81
51.17;68;230;56;26
51.18;22;105;185;63
51.28;42;65;142;68
53.54;41;330;74;80
54.43;62;260;50;39
56;20;135;213;48
56.21;45;205;346;18
56.31;30;140;211;37
56.4;18;280;25;80
56.57;55;200;18;11
56.58;60;230;39;26
58.92;19;130;210;51
59.1;34;330;72;87
59.22;29;340;259;84
60.48;46;155;204;17
60.52;65;225;50;24
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
